control,tag,inline_handler,clicks,observation_gap
endpoint:/api/orchestrators/${name}/change-scope,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/orchestrators/${selectedAgent},fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/pipelines,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/profiles,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/profiles/${encodeURIComponent(b.dataset.name)},fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/projects,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/proxy/check/${b.dataset.id},fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/proxy/check/${id},fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/proxy/list,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/proxy/set-env,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/restart,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/role-icons,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${agentName}/change-model,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${encodeURIComponent(name)}/logs,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${encodeURIComponent(selectedAgent)}/clear-session,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${encodeURIComponent(selectedAgent)}/compact,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${encodeURIComponent(selectedAgent)}/restart-cli,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${name}/context,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${s.name}/tg-topic,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${selectedAgent}/interrupt,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${selectedAgent}/logs,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${selectedAgent}/prompt-blocks,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${selectedAgent}/send,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/sessions/${selectedAgent}/stream,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/stats,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/subagent-transcript/${encodeURIComponent(sid)}/${encodeURIComponent(agentId)},fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/subagents/${encodeURIComponent(sid)},fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/tm/payments/status,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/tm/tasks,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/tm/tasks/${par}${scope},fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/transcribe,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/upload,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/usage,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/usage/analytics,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/usage/history,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/usage/quota-map,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
endpoint:/api/usage/wake-after-reset,fetch/reference,,UNMEASURED,JS reference; no click/event telemetry
