feature,usage evidence,critical negative control/recovery role,current consumers,prompt/tool/UI footprint,maintenance/confusion evidence,deletion blast radius,replacement,verdict,confidence,deletion oracle
mcp_tool:get_worker_logs,90d named calls=16; success=16; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:get_worker_logs,schema=271B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:kill_worker,90d named calls=44; success=42; error=2; unknown=0,critical,app/mcp_stdio.py:kill_worker,schema=357B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:list_agents,90d named calls=131; success=131; error=0; unknown=0,critical,app/mcp_stdio.py:list_agents,schema=178B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:list_orchestrators,90d named calls=7; success=7; error=0; unknown=0,critical,app/mcp_stdio.py:list_orchestrators,schema=231B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:merge_worker,90d named calls=89; success=88; error=1; unknown=0,critical,app/mcp_stdio.py:merge_worker,schema=1340B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:notify_user,90d named calls=18; success=18; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:notify_user,schema=1428B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:open_fan,90d named calls=7; success=7; error=0; unknown=0,critical,app/mcp_stdio.py:open_fan,schema=1799B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:payment_receive,90d named calls=0; success=0; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:payment_receive,schema=492B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,medium,none proposed,DELETE,PRE-DECIDED (#299),#299 migration oracle; deletion is outside #309
mcp_tool:payment_status,90d named calls=0; success=0; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:payment_status,schema=239B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,medium,none proposed,DELETE,PRE-DECIDED (#299),#299 migration oracle; deletion is outside #309
mcp_tool:publish_artifact,90d named calls=0; success=0; error=0; unknown=0,critical,app/mcp_stdio.py:publish_artifact,schema=420B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:release_test_lock,90d named calls=0; success=0; error=0; unknown=0,critical,app/mcp_stdio.py:release_test_lock,schema=294B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:rename_worker,90d named calls=0; success=0; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:rename_worker,schema=274B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,medium,none proposed,DEPRECATE,UNCERTAIN,"instrument complete telemetry, then mechanical registry/import/call-site oracle"
mcp_tool:report_bug,90d named calls=16; success=16; error=0; unknown=0,critical,app/mcp_stdio.py:report_bug,schema=1084B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:resolve_merge_operation,90d named calls=0; success=0; error=0; unknown=0,critical,app/mcp_stdio.py:resolve_merge_operation,schema=703B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:retry_initial_delivery,90d named calls=0; success=0; error=0; unknown=0,critical,app/mcp_stdio.py:retry_initial_delivery,schema=396B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:search_memory,90d named calls=164; success=164; error=0; unknown=0,critical,app/mcp_stdio.py:search_memory,schema=971B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:send_chart,90d named calls=0; success=0; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:send_chart,schema=2134B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,medium,none proposed,DEPRECATE,UNCERTAIN,"instrument complete telemetry, then mechanical registry/import/call-site oracle"
mcp_tool:send_file,90d named calls=52; success=45; error=0; unknown=7,critical,app/mcp_stdio.py:send_file,schema=455B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:send_message,90d named calls=299; success=296; error=2; unknown=1,none observed; verify dynamic callers,app/mcp_stdio.py:send_message,schema=286B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:spawn_worker,90d named calls=90; success=69; error=21; unknown=0,critical,app/mcp_stdio.py:spawn_worker,schema=2349B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:stop_worker,90d named calls=4; success=4; error=0; unknown=0,critical,app/mcp_stdio.py:stop_worker,schema=294B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:switch_worker_branch,90d named calls=3; success=3; error=0; unknown=0,critical,app/mcp_stdio.py:switch_worker_branch,schema=830B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:task_create,90d named calls=102; success=99; error=3; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:task_create,schema=904B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:task_get,90d named calls=28; success=28; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:task_get,schema=307B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:task_list,90d named calls=9; success=9; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:task_list,schema=349B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:task_update,90d named calls=92; success=92; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:task_update,schema=1184B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:test_lock_status,90d named calls=0; success=0; error=0; unknown=0,critical,app/mcp_stdio.py:test_lock_status,schema=239B; function/refs in feature-footprint.csv,zero/rare named calls; older wrapper telemetry excluded,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
mcp_tool:update_progress,90d named calls=5; success=5; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:update_progress,schema=328B; function/refs in feature-footprint.csv,active call history,medium,automatic task tickets/stages (future alternative only),HIDE,LIKELY,future Class-C: active-session negative control + API compatibility probe
mcp_tool:update_worker_description,90d named calls=4; success=4; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:update_worker_description,schema=364B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:update_worker_prompt,90d named calls=5; success=5; error=0; unknown=0,none observed; verify dynamic callers,app/mcp_stdio.py:update_worker_prompt,schema=308B; function/refs in feature-footprint.csv,active call history,medium,none proposed,KEEP,LIKELY,focused regression on current consumers
mcp_tool:worker_wip,90d named calls=121; success=121; error=0; unknown=0,critical,app/mcp_stdio.py:worker_wip,schema=396B; function/refs in feature-footprint.csv,active call history,high,none proposed,KEEP,CONFIRMED,recovery/safety path must remain callable; count cannot override role
route_group:/,UNMEASURED — no persisted route request census,not established,app.routes.system:dashboard,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/artifacts,UNMEASURED — no persisted route request census,critical,app.routes.artifacts:open_artifact;app.routes.artifacts:artifact_content;app.routes.artifacts:revoke_artifact;app.routes.artifacts:redeem_artifact;app.routes.artifacts:publish_artifact,5 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/bg,UNMEASURED — no persisted route request census,critical,app.routes.bg:bg_job_list;app.routes.bg:bg_job_create;app.routes.bg:bg_job_cancel,2 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/blobs,UNMEASURED — no persisted route request census,not established,app.routes.sessions:get_blob,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/fan,UNMEASURED — no persisted route request census,not established,app.routes.sessions:open_fan,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/files,UNMEASURED — no persisted route request census,not established,app.routes.system:get_file_raw;app.routes.system:get_file_content;app.routes.system:list_files,3 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/initial-deliveries,UNMEASURED — no persisted route request census,critical,app.routes.sessions:get_initial_delivery,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/logs,UNMEASURED — no persisted route request census,not established,app.routes.sessions:logs_sync;app.routes.sessions:get_single_log,2 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/memory,UNMEASURED — no persisted route request census,critical,app.routes.memory:memory_search;app.routes.memory:memory_reindex,2 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/merge-operations,UNMEASURED — no persisted route request census,critical,app.routes.merge_operations:get_merge_operation;app.routes.merge_operations:create_merge_operation;app.routes.merge_operations:merge_operation_capabilities;app.routes.merge_operations:resolve_merge_operation,4 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/models,UNMEASURED — no persisted route request census,not established,app.routes.system:refresh_models_endpoint;app.routes.system:list_models;app.routes.system:patch_model_flags;app.routes.system:refresh_models_catalog;app.routes.system:get_models_catalog,5 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/open-folder,UNMEASURED — no persisted route request census,not established,app.routes.system:open_folder,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/orchestrators,UNMEASURED — no persisted route request census,not established,app.routes.system:delete_orchestrator;app.routes.system:list_orchestrators;app.routes.system:change_orchestrator_scope_endpoint,3 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/pipelines,UNMEASURED — no persisted route request census,not established,app.routes.system:get_pipelines,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/profiles,UNMEASURED — no persisted route request census,not established,app.routes.system:get_profiles;app.routes.system:remove_profile;app.routes.system:create_profile,2 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/projects,UNMEASURED — no persisted route request census,not established,app.routes.system:list_projects,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/proxy,UNMEASURED — no persisted route request census,not established,app.routes.proxy:proxy_set_env;app.routes.proxy:proxy_check;app.routes.proxy:proxy_list,3 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/report_bug,UNMEASURED — no persisted route request census,not established,app.routes.system:report_bug_endpoint;app.routes.system:read_bug_reports,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/restart,UNMEASURED — no persisted route request census,not established,app.routes.system:restart_server,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/role-icons,UNMEASURED — no persisted route request census,not established,app.routes.system:role_icons,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/sessions,UNMEASURED — no persisted route request census,critical,app.routes.system:hibernate_session_endpoint;app.routes.sessions:send_message;app.routes.sessions:session_history;app.routes.sessions:get_session_prompt;app.routes.sessions:toggle_tg_topic;app.routes.sessions:update_progress;app.routes.sessions:change_model;app.routes.sessions:get_session;app.routes.sessions:stream_session_logs;app.routes.sessions:delete_session;app.routes.sessions:rename_session;app.routes.sessions:list_sessions;app.routes.sessions:rollback_session;app.routes.sessions:get_prompt_blocks;app.routes.sessions:compact_session;app.routes.sessions:update_description;app.routes.sessions:restart_cli;app.routes.sessions:session_wip;app.routes.sessions:interrupt_session;app.routes.sessions:get_session_context;app.routes.sessions:switch_branch;app.routes.sessions:update_prompt;app.routes.sessions:merge_session;app.routes.sessions:update_tg_topic;app.routes.sessions:create_session;app.routes.sessions:clear_session;app.routes.sessions:check_conflict_endpoint;app.routes.sessions:runtime_handoff_events;app.routes.sessions:accept_initial_delivery;app.routes.sessions:stop_session;app.routes.sessions:get_session_logs,28 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/stats,UNMEASURED — no persisted route request census,not established,app.routes.system:stats,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/subagent-transcript,UNMEASURED — no persisted route request census,not established,app.routes.subagent:subagent_transcript,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/subagent-transcripts,UNMEASURED — no persisted route request census,not established,app.routes.subagent:subagent_transcript_ids,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/subagents,UNMEASURED — no persisted route request census,not established,app.routes.subagent:subagents_list,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/test-lock,UNMEASURED — no persisted route request census,critical,app.routes.system:test_lock_status_endpoint;app.routes.system:release_lock_endpoint;app.routes.system:acquire_lock_endpoint,3 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/tg,UNMEASURED — no persisted route request census,not established,app.routes.tg:tg_send_file;app.routes.tg:tg_delivery_stats,2 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/tm,UNMEASURED — no persisted route request census,not established,app.routes.tm:tm_sync_retry;app.routes.tm:tm_create_task;app.routes.tm:tm_update_task;app.routes.tm:tm_list_tasks;app.routes.tm:tm_payment_history;app.routes.tm:tm_receive_payment;app.routes.tm:tm_sync_log;app.routes.tm:tm_payment_status;app.routes.tm:tm_get_task,7 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/transcribe,UNMEASURED — no persisted route request census,not established,app.routes.tg:transcribe_upload,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/tunnel,UNMEASURED — no persisted route request census,not established,app.routes.proxy:api_tunnel_status,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/upload,UNMEASURED — no persisted route request census,not established,app.routes.tg:upload_file,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:/api/usage,UNMEASURED — no persisted route request census,critical,app.routes.system:usage_analytics_endpoint;app.routes.system:usage_history;app.routes.system:get_usage;app.routes.system:usage_readiness;app.routes.system:wake_after_reset_endpoint;app.routes.system:quota_map;app.routes.system:get_usage_card,7 paths; see route-inventory.csv,route is registered in generated OpenAPI,high,none proposed,KEEP,CONFIRMED,add request census before any deletion; route-specific contract tests
route_group:/api/webhook,UNMEASURED — no persisted route request census,not established,app.routes.system:github_webhook,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:docs,UNMEASURED — no persisted route request census,not established,fastapi.applications:swagger_ui_redirect;fastapi.applications:swagger_ui_html,2 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:login,UNMEASURED — no persisted route request census,not established,app.routes.system:login_submit;app.routes.system:login_page,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:logout,UNMEASURED — no persisted route request census,not established,app.routes.system:logout,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:openapi.json,UNMEASURED — no persisted route request census,not established,fastapi.applications:openapi,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:redoc,UNMEASURED — no persisted route request census,not established,fastapi.applications:redoc_html,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
route_group:uploads,UNMEASURED — no persisted route request census,not established,app.routes.tg:serve_upload,1 paths; see route-inventory.csv,route is registered in generated OpenAPI,unknown,none proposed,KEEP,UNCERTAIN,add request census before any deletion; route-specific contract tests
ui:progress-bar,UNMEASURED clicks; 5 successful MCP updates are worker-side only,none; API remains progress-compatible,app/static/js/app.js updateAgentInfo/renderAgentItem,two DOM renderers + update_progress schema,cosmetic/unknown user observation; no event telemetry,low UI / medium if API removed,automatic task tickets/stages — future Class-C only,HIDE,LIKELY,browser absence + active-session API negative control
proxy/tunnel dashboard controls,UNMEASURED UI clicks; backend owner is external ai-proxy-manager,proxy route can affect connectivity; do not delete runtime ownership,"app/routes/proxy.py, app/proxy_manager.py, app/ssh_tunnel.py, dashboard",86+148+225 Python LOC plus dashboard controls,project instructions say Orchestra is client-only; UI writes .env/restart banner,high if runtime controls removed,link/status-only UI,HIDE,UNCERTAIN,live proxy health + no route mutation + dashboard regression
legacy merge route,UNMEASURED requests; middleware returns typed 426 before endpoint,merge-operation-v1 remains critical,app/main.py AuthMiddleware; app/routes/sessions.py legacy endpoint; one negative test,route in OpenAPI; duplicate legacy implementation,explicit 'Legacy merge endpoint is disabled' response,low after migration oracle,/api/merge-operations v1,DELETE,CONFIRMED,middleware 426 test + generated OpenAPI absence + v1 merge recovery tests
duplicate POST /api/models/refresh,UNMEASURED requests; two identical definitions,"model refresh is operational, retain one",app/routes/system.py two identical handlers,duplicate OpenAPI operation id warning,FastAPI emitted duplicate Operation ID warning during registry generation,low if one identical route remains,single canonical handler,MERGE,CONFIRMED,OpenAPI unique operation id + one refresh request contract
YouGile integration,DB sync_log=488; tasks have YouGile fields; pre-decided removable under #299,not a session/recovery safety path,"app/tm_yougile.py, app/tm_import_yougile.py, tm hooks",363 LOC + task schema fields,pre-decided by user/#299; not re-litigated,medium task projection,none in #309,DELETE,PRE-DECIDED (#299),#299 migration oracle; future Class-C only
payments,tm_payments=2; allocations=3; pre-decided removable under #299,not a session/recovery safety path,"app/tm.py, app/routes/tm.py, payment MCP tools",payment schema + 2 MCP schemas,pre-decided by user/#299; not re-litigated,medium task accounting,none in #309,DELETE,PRE-DECIDED (#299),#299 migration oracle; future Class-C only
