path,methods,owner,route_usage_30d,route_usage_60d,route_usage_90d,observation_gap
/api/fan/open,POST,app.routes.sessions:open_fan,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/send,POST,app.routes.sessions:send_message,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/compact,POST,app.routes.sessions:compact_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/session-history,GET,app.routes.sessions:session_history,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/rollback-session,POST,app.routes.sessions:rollback_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/restart-cli,POST,app.routes.sessions:restart_cli,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/clear-session,POST,app.routes.sessions:clear_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/interrupt,POST,app.routes.sessions:interrupt_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/stop,POST,app.routes.sessions:stop_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/description,POST,app.routes.sessions:update_description,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/tg_topic,POST,app.routes.sessions:update_tg_topic,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/prompt,POST,app.routes.sessions:update_prompt,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/change-model,POST,app.routes.sessions:change_model,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{session_id}/handoffs/{handoff_id}/events,POST,app.routes.sessions:runtime_handoff_events,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/rename,POST,app.routes.sessions:rename_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name},DELETE,app.routes.sessions:delete_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/merge,POST,app.routes.sessions:merge_session,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/switch-branch,POST,app.routes.sessions:switch_branch,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/blobs/{session_id}/{sha},GET,app.routes.sessions:get_blob,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/wip,GET,app.routes.sessions:session_wip,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/check-conflict,POST,app.routes.sessions:check_conflict_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/progress,POST,app.routes.sessions:update_progress,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/tg-topic,PATCH,app.routes.sessions:toggle_tg_topic,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/,GET,app.routes.system:dashboard,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/login,GET,app.routes.system:login_page,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/login,POST,app.routes.system:login_submit,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/logout,POST,app.routes.system:logout,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/projects,GET,app.routes.system:list_projects,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/files/raw,GET,app.routes.system:get_file_raw,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/files/content,GET,app.routes.system:get_file_content,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/open-folder,POST,app.routes.system:open_folder,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/files,GET,app.routes.system:list_files,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/role-icons,GET,app.routes.system:role_icons,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/pipelines,GET,app.routes.system:get_pipelines,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/profiles,GET,app.routes.system:get_profiles,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/profiles,POST,app.routes.system:create_profile,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/profiles/{name},DELETE,app.routes.system:remove_profile,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/models,GET,app.routes.system:list_models,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/models/refresh,POST,app.routes.system:refresh_models_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/models/refresh,POST,app.routes.system:refresh_models_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/models/catalog,GET,app.routes.system:get_models_catalog,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/models/catalog/refresh,POST,app.routes.system:refresh_models_catalog,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/models/catalog/flags,PATCH,app.routes.system:patch_model_flags,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/stats,GET,app.routes.system:stats,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/usage,GET,app.routes.system:get_usage,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/usage/card,GET,app.routes.system:get_usage_card,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/usage/history,GET,app.routes.system:usage_history,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/usage/analytics,GET,app.routes.system:usage_analytics_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/usage/wake-after-reset,POST,app.routes.system:wake_after_reset_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/usage/readiness,GET,app.routes.system:usage_readiness,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/usage/quota-map,GET,app.routes.system:quota_map,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/sessions/{name}/hibernate,POST,app.routes.system:hibernate_session_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/report_bug,POST,app.routes.system:report_bug_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/report_bug,GET,app.routes.system:read_bug_reports,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/orchestrators,GET,app.routes.system:list_orchestrators,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/orchestrators/{name},DELETE,app.routes.system:delete_orchestrator,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/orchestrators/{name}/change-scope,POST,app.routes.system:change_orchestrator_scope_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/test-lock,GET,app.routes.system:test_lock_status_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/test-lock/acquire,POST,app.routes.system:acquire_lock_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/test-lock/release,POST,app.routes.system:release_lock_endpoint,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/restart,POST,app.routes.system:restart_server,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/webhook/github,POST,app.routes.system:github_webhook,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/transcribe,POST,app.routes.tg:transcribe_upload,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/upload,POST,app.routes.tg:upload_file,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/uploads/{filename:path},GET,app.routes.tg:serve_upload,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tg/delivery-stats,GET,app.routes.tg:tg_delivery_stats,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/tg/send_file,POST,app.routes.tg:tg_send_file,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/subagents/{session_id},GET,app.routes.subagent:subagents_list,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/subagent-transcripts/{session_id},GET,app.routes.subagent:subagent_transcript_ids,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/subagent-transcript/{session_id}/{agent_id},GET,app.routes.subagent:subagent_transcript,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/memory/search,POST,app.routes.memory:memory_search,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/memory/reindex,POST,app.routes.memory:memory_reindex,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/merge-operations/capabilities,GET,app.routes.merge_operations:merge_operation_capabilities,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/merge-operations,POST,app.routes.merge_operations:create_merge_operation,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/merge-operations/{operation_id}/resolve,POST,app.routes.merge_operations:resolve_merge_operation,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/merge-operations/{operation_id},GET,app.routes.merge_operations:get_merge_operation,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/artifacts/publish,POST,app.routes.artifacts:publish_artifact,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/artifacts/{locator}/revoke,POST,app.routes.artifacts:revoke_artifact,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/artifacts/open/{locator},GET,app.routes.artifacts:open_artifact,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/artifacts/open/{locator}/redeem,POST,app.routes.artifacts:redeem_artifact,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
/api/artifacts/open/{locator}/content,GET,app.routes.artifacts:artifact_content,UNMEASURED,UNMEASURED,UNMEASURED,no persisted HTTP request census by path/method in SQLite logs
