repo	file	line	old_path	old_exists	orchestra_analog_exists
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	89	docs/workers/me.md	False	False
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	90	docs/workers/someone-else.md	False	False
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	92	docs/tasks	False	True
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	93	docs/tasks/238/report.md	False	False
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	134	docs/workers/someone-else.md	False	False
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	139	docs/workers/someone-else.md	False	False
orchestra	.orchestra/tasks/238/acceptance/test_write_scope_hook.py	149	docs/tasks/238/report.md	False	False
orchestra	.orchestra/tasks/89/experiment_skill_index.py	393	docs/tasks/89/experiment-assembled-system.json	False	True
orchestra	tests/test_orchestra_layout_compat_430.py	27	docs/kb	False	True
orchestra	tests/test_orchestra_layout_compat_430.py	28	docs/workers	False	True
orchestra	tests/test_orchestra_layout_compat_430.py	29	docs/kb/README.md	False	True
orchestra	tests/test_orchestra_layout_compat_430.py	30	docs/workers/{name	False	False
orchestra	tests/test_orchestra_layout_compat_430.py	35	docs/workers	False	True
orchestra	tests/test_orchestra_layout_compat_430.py	39	docs/workers/{name	False	False
orchestra	.orchestra/tasks/312/analysis.py	583	docs/tasks/240/review-research.md%	False	False
orchestra	.orchestra/tasks/64/measurements/computed_diff.py	7	docs/tasks/64/measurements/computed_diff.py	False	True
orchestra	.orchestra/tasks/64/measurements/visual_diff.py	12	docs/tasks/64/measurements/visual_diff.py	False	True
orchestra	.orchestra/tasks/136/verify-json.py	11	docs/tasks/136/verify-json.py	False	True
orchestra	.orchestra/tasks/136/verify-json.py	20	docs/tasks/136/bigint-sample.json	False	True
orchestra	.orchestra/tasks/136/verify-json.py	21	docs/tasks/136/plain-sample.json	False	True
orchestra	.orchestra/tasks/136/verify-json.py	92	docs/tasks/136/json-bigint.png	False	True
orchestra	.orchestra/tasks/136/verify-json.py	106	docs/tasks/136/json-plain.png	False	True
orchestra	tests/test_owned_dirs_migration_473.py	111	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	114	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	125	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	134	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	135	docs/tasks/88/	False	True
orchestra	tests/test_owned_dirs_migration_473.py	236	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	238	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	244	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	268	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	275	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	305	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	324	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	332	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	347	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	350	docs/tasks/999/\nEnd	False	False
orchestra	tests/test_owned_dirs_migration_473.py	370	docs/tasks/999/\nEnd	False	False
orchestra	tests/test_owned_dirs_migration_473.py	386	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	394	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	407	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	425	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	435	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	447	docs/tasks/88/	False	True
orchestra	tests/test_owned_dirs_migration_473.py	500	docs/tasks/999	False	False
orchestra	tests/test_owned_dirs_migration_473.py	520	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	538	docs/tasks/404	False	True
orchestra	tests/test_owned_dirs_migration_473.py	569	docs/tasks/404	False	True
orchestra	tests/test_owned_dirs_migration_473.py	606	docs/tasks/404	False	True
orchestra	tests/test_owned_dirs_migration_473.py	625	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	642	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	659	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	669	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	689	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	740	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	748	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	752	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	754	docs/tasks/88	False	True
orchestra	tests/test_owned_dirs_migration_473.py	764	docs/tasks/88	False	True
orchestra	tests/test_orchestra_layout_dirty_430.py	34	docs/kb	False	True
orchestra	tests/test_orchestra_layout_dirty_430.py	35	docs/kb/modified.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	36	docs/kb/deleted.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	37	docs/kb/clean.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	44	docs/kb/modified.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	47	docs/kb/new.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	50	docs/kb/deleted.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	53	docs/kb/modified.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	54	docs/kb/new.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	55	docs/kb/deleted.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	69	docs/kb/deleted.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	70	docs/kb/modified.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	71	docs/kb/new.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	102	docs/kb	False	True
orchestra	tests/test_orchestra_layout_dirty_430.py	103	docs/kb/fact.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	109	docs/kb/fact.md	False	False
orchestra	tests/test_orchestra_layout_dirty_430.py	110	docs/kb/fact.md	False	False
orchestra	.orchestra/tasks/345/pos_345.py	2	docs/tasks/345/classify4_345.py	False	True
orchestra	tests/test_orchestra_layout_430.py	32	docs/kb/	False	True
orchestra	tests/test_orchestra_layout_430.py	33	docs/tasks/	False	True
orchestra	tests/test_orchestra_layout_430.py	34	docs/workers/	False	True
orchestra	tests/test_orchestra_layout_430.py	141	docs/kb	False	True
orchestra	tests/test_orchestra_layout_430.py	174	docs/kb/kb.md	False	False
orchestra	tests/test_orchestra_layout_430.py	176	docs/kb/untracked.md	False	False
orchestra	tests/test_orchestra_layout_430.py	189	docs/kb/kb.md	False	False
orchestra	tests/test_orchestra_layout_430.py	190	docs/kb/untracked.md	False	False
orchestra	tests/test_orchestra_layout_430.py	201	docs/kb	False	True
orchestra	tests/test_orchestra_layout_430.py	213	docs/kb/kb.md	False	False
orchestra	tests/test_orchestra_layout_430.py	220	docs/kb/kb.md	False	False
orchestra	tests/test_orchestra_layout_430.py	297	docs/tasks/1/research.md	False	False
orchestra	tests/test_orchestra_layout_430.py	341	docs/kb/README.md	False	True
orchestra	tests/test_orchestra_layout_430.py	342	docs/tasks/430/plan.md	False	True
orchestra	tests/test_orchestra_layout_430.py	366	docs/kb	False	True
orchestra	tests/test_orchestra_layout_430.py	366	docs/tasks	False	True
orchestra	tests/test_orchestra_layout_430.py	366	docs/workers	False	True
orchestra	tests/test_orchestra_layout_430.py	420	docs/kb	False	True
orchestra	tests/test_orchestra_layout_430.py	421	docs/tasks	False	True
orchestra	tests/test_orchestra_layout_430.py	422	docs/workers	False	True
orchestra	tests/test_orchestra_layout_430.py	470	docs/tasks/	False	True
orchestra	.orchestra/tasks/190/analyze.py	4	docs/tasks/190/analyze.py	False	True
orchestra	.orchestra/tasks/190/analyze.py	25	docs/tasks/190/web-pricing.md	False	True
orchestra	.orchestra/tasks/430-vps/skillstate430/run_luna_benchmark.py	28	docs/tasks/430/evidence	False	False
orchestra	.orchestra/tasks/430-vps/acceptance/test_t4_luna_main_benchmark.py	16	docs/tasks/430/evidence	False	False
orchestra	.orchestra/tasks/430-vps/acceptance/test_t4_luna_main_benchmark.py	21	docs/tasks/430/report.md	False	False
orchestra	.orchestra/tasks/430-vps/acceptance/test_t4_luna_main_benchmark.py	99	docs/tasks	False	True
orchestra	.orchestra/tasks/73/measure_reuse.py	9	docs/tasks/73/measure_reuse.py	False	True
orchestra	.orchestra/tasks/430-vps/acceptance/test_t2_luna_positive_control.py	9	docs/tasks/430/evidence/luna-positive-control-v2.json	False	False
orchestra	.orchestra/tasks/430-vps/acceptance/test_t2_luna_positive_control.py	10	docs/tasks/430/evidence/luna-positive-control-v2-raw.jsonl	False	False
orchestra	.orchestra/tasks/456/history_audit.py	131	docs/tasks/429/plan.md	False	False
orchestra	.orchestra/tasks/430-vps/acceptance/test_t3_luna_calibration.py	10	docs/tasks/430/evidence/luna-positive-control.json	False	False
orchestra	.orchestra/tasks/430-vps/acceptance/test_t3_luna_calibration.py	11	docs/tasks/430/evidence/luna-calibration.json	False	False
orchestra	.orchestra/tasks/430-vps/acceptance/test_t3_luna_calibration.py	12	docs/tasks/430/evidence/luna-calibration-raw.jsonl	False	False
orchestra	.orchestra/tasks/251/run_bench.sh	5	docs/tasks/251/raw	False	True
orchestra	.orchestra/tasks/251/run_bench.sh	6	docs/tasks/251/prompts	False	True
orchestra	.orchestra/tasks/422/acceptance/test_reconciliation_provenance_422.py	36	docs/tasks/422/evidence/replay-summary.json	False	True
orchestra	.orchestra/tasks/422/acceptance/test_reconciliation_provenance_422.py	37	docs/tasks/422/evidence/raw	False	True
orchestra	.orchestra/tasks/256/eval/audit_structure.py	80	docs/kb	False	True
orchestra	.orchestra/tasks/256/eval/audit_structure.py	120	docs/kb/README.md	False	True
orchestra	.orchestra/tasks/256/eval/audit_structure.py	124	docs/kb/README.md	False	True
orchestra	.orchestra/tasks/256/eval/audit_structure.py	128	docs/tasks/*/research.md	False	False
orchestra	.orchestra/tasks/256/eval/audit_structure.py	131	docs/kb	False	True
orchestra	.orchestra/tasks/256/eval/audit_structure.py	147	docs/kb/*.md	False	False
orchestra	.orchestra/tasks/256/eval/audit_structure.py	162	docs/kb/README.md	False	True
orchestra	.orchestra/tasks/83/capture_partial.py	3	docs/tasks/83/capture_partial.py	False	True
orchestra	.orchestra/tasks/83/capture_partial.py	4	docs/tasks/83/partial_dump.jsonl	False	True
orchestra	.orchestra/tasks/47/screenshot-record.py	7	docs/tasks/47/screenshot-record.py	False	True
orchestra	.orchestra/tasks/63/measure_convergence.py	6	docs/tasks/63/measure_convergence.py	False	True
orchestra	.orchestra/tasks/72/verify-chunks.py	7	docs/tasks/72/report.md	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t2_lexical_fact_contract.py	35	docs/tasks/417/plan.md	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t2_lexical_fact_contract.py	117	docs/kb	False	True
orchestra	.orchestra/tasks/361/acceptance/test_live_activation_behavior.py	60	docs/kb/topic.md	False	False
orchestra	.orchestra/tasks/361/acceptance/test_live_activation_behavior.py	272	docs/kb/topic.md	False	False
orchestra	.orchestra/tasks/361/acceptance/test_live_activation_behavior.py	274	docs/kb/topic.md	False	False
orchestra	.orchestra/tasks/361/acceptance/test_live_activation_behavior.py	281	docs/kb/topic.md	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t1_file_first_read_protocol.py	24	docs/kb/	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t1_file_first_read_protocol.py	26	docs/tasks/	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t1_file_first_read_protocol.py	63	docs/kb/	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	20	docs/kb/	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	21	docs/tasks/	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	28	docs/tasks/417/plan.md	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	83	docs/tasks/417/plan.md#{approval_id	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	88	docs/tasks/417/plan.md#{approval_id	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	90	docs/tasks/417/plan.md#{approval_id	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	93	docs/tasks/417/plan.md#missing-approval-id	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	96	docs/tasks/417/plan.md#{mismatched_id	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	98	docs/tasks/417/plan.md#{approval_id	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	103	docs/kb	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	105	docs/tasks/417/plan.md	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	110	docs/kb/prompt-delivery.md	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	112	docs/kb/prompt-delivery.md	False	True
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	141	docs/tasks/417/plan.md#{approval_id	False	False
orchestra	.orchestra/tasks/417/acceptance/test_t3_approved_one_hop_links.py	154	docs/tasks/417/plan.md#{approval_id	False	False
orchestra	.orchestra/tasks/303/test_release_b_identity.py	216	docs/tasks/303/release-b-evidence.json	False	False
orchestra	.orchestra/tasks/fullcycle-audit/artifacts.py	3	docs/tasks/<id>/<file>	False	False
orchestra	.orchestra/tasks/fullcycle-audit/artifacts.py	4	docs/tasks/([A-Za-z0-9_.\-	False	False
orchestra	.orchestra/tasks/189/replay.py	9	docs/tasks/189/replay.py	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	33	docs/tasks/303	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	41	docs/tasks/303/test_v10_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	42	docs/tasks/303/test_authority_oracle_selftest.py	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	43	docs/tasks/303/test_release_a_recovery.py::test_ta_measured_emergency_baseline_is_recovery_not_prevention	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	44	docs/tasks/303/test_release_a_recovery.py::test_ta_units_template_and_installer_use_a_direct_versioned_runtime	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	45	docs/tasks/303/test_release_a_recovery.py::test_ta_only_shipped_activation_authority_entries_are_fixed_units	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	48	docs/tasks/303/test_v10_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	49	docs/tasks/303/test_authority_oracle_selftest.py	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	50	docs/tasks/303/test_release_b_identity.py::test_tb_every_local_child_consumer_calls_only_the_fail_closed_launcher	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	51	docs/tasks/303/test_release_b_identity.py::test_tb_boundary_unit_is_the_only_shipped_authorization_caller	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	54	docs/tasks/303/test_v10_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	55	docs/tasks/303/test_release_c_credentials.py::test_tc_backends_use_controller_launch_and_project_tools_use_release_b	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	58	docs/tasks/303/test_v10_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	59	docs/tasks/303/test_release_d_env.py::test_td_worker_and_each_mcp_server_receive_only_their_scoped_environment	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	60	docs/tasks/303/test_release_d_env.py::test_td_capability_is_bound_to_session_scope_mode_and_not_operator_authority	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	61	docs/tasks/303/test_release_d_env.py::test_td_guard_resolves_symlinks_and_emits_no_values	False	False
orchestra	.orchestra/tasks/303/v10_delivery_gate.py	62	docs/tasks/303/test_release_d_env.py::test_td_env_cleanup_deletes_only_registered_unchanged_replaced_copies	False	False
orchestra	.orchestra/tasks/85/experiment.py	8	docs/tasks/85/experiment.py	False	True
orchestra	.orchestra/tasks/303/probe_uv_boundary.sh	6	docs/tasks/303/.probe-uv.XXXXXX	False	False
orchestra	.orchestra/tasks/303/probe_uv_boundary.sh	13	docs/tasks/303/.probe-uv.*	False	False
orchestra	.orchestra/tasks/189/exp_batching.py	9	docs/tasks/189/exp_batching.py	False	True
orchestra	.orchestra/tasks/262/measure.py	133	docs/tasks/249/research.md	False	True
orchestra	.orchestra/tasks/303/test_release_d_env.py	192	docs/tasks/303/release-d-evidence.json	False	False
orchestra	.orchestra/tasks/189/run_all.sh	3	docs/tasks/189/run_all.sh	False	True
orchestra	.orchestra/tasks/303/test_v10_delivery_oracle.py	164	docs/tasks/303/v10_delivery_gate.py	False	True
orchestra	.orchestra/tasks/285/parts/telemetry/collect.py	946	docs/tasks/285/parts/telemetry/.scratch-live.db	False	False
orchestra	.orchestra/tasks/285/parts/telemetry/collect.py	950	docs/tasks/285/parts/telemetry/collect.py	False	True
orchestra	.orchestra/tasks/285/parts/telemetry/collect.py	950	docs/tasks/285/parts/telemetry/.scratch-live.db	False	False
orchestra	.orchestra/tasks/285/parts/telemetry/collect.py	950	docs/tasks/285/parts/telemetry/evidence.json	False	True
orchestra	.orchestra/tasks/285/parts/telemetry/collect.py	950	docs/tasks/285/parts/telemetry/evidence.md	False	True
orchestra	.orchestra/tasks/285/parts/telemetry/collect.py	951	docs/tasks/285/parts/telemetry/.scratch-live.db	False	False
orchestra	.orchestra/tasks/285/build_limits_data.py	34	docs/tasks/285/research.md	False	True
orchestra	.orchestra/tasks/285/build_limits_data.py	35	docs/tasks/285/limits-data.json	False	True
orchestra	.orchestra/tasks/285/build_limits_data.py	36	docs/tasks/285/parts/telemetry/evidence.json	False	True
orchestra	.orchestra/tasks/285/build_limits_data.py	37	docs/tasks/285/parts/official/evidence.json	False	True
orchestra	.orchestra/tasks/285/build_limits_data.py	38	docs/tasks/285/parts/grok/evidence.json	False	True
orchestra	.orchestra/tasks/285/build_limits_data.py	206	docs/tasks/285/scan_artifacts.py	False	True
orchestra	.orchestra/tasks/285/build_limits_data.py	206	docs/tasks/285	False	True
orchestra	.orchestra/tasks/285/build_limits_data.py	206	docs/tasks/286	False	True
orchestra	.orchestra/tasks/285/scan_artifacts.py	43	docs/tasks/285	False	True
orchestra	.orchestra/tasks/303/test_v11_delivery_oracle.py	91	docs/tasks/303	False	True
orchestra	.orchestra/tasks/303/test_v11_delivery_oracle.py	338	docs/tasks/303/v11_delivery_gate.py	False	True
orchestra	.orchestra/tasks/285/build_html.py	215	docs/tasks/285/research.md</code>	False	False
orchestra	.orchestra/tasks/303/test_release_a_recovery.py	54	docs/tasks/303/emergency-baseline-v6.json	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t7_prompt_document_cutover_behavior.py	87	docs/tasks/	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t7_prompt_document_cutover_behavior.py	88	docs/kb/	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t7_prompt_document_cutover_behavior.py	94	docs/workers/	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t7_prompt_document_cutover_behavior.py	477	docs/kb/repo-ops.md	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t7_prompt_document_cutover_behavior.py	562	docs/kb/repo-ops.md	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t3b_agent_only_knowledge_behavior_v2.py	402	docs/tasks/315/research.md	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t3b_agent_only_knowledge_behavior.py	153	docs/tasks/315/acceptance/test_t3_promotion_behavior.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t3b_agent_only_knowledge_behavior.py	306	docs/tasks/315/research.md	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t3b_agent_only_knowledge_behavior.py	397	docs/kb/repo-ops.md	False	True
orchestra	.orchestra/tasks/303/test_release_c_credentials.py	181	docs/tasks/303/release-c-evidence.json	False	False
orchestra	.orchestra/tasks/303/test_release_c_credentials.py	293	docs/tasks/303/release-c-evidence.json	False	False
orchestra	.orchestra/tasks/313/evidence/verify_artifacts.py	19	docs/tasks/313/inventory.json	False	True
orchestra	.orchestra/tasks/313/evidence/verify_artifacts.py	20	docs/tasks/313/evidence/static-signals.json	False	True
orchestra	.orchestra/tasks/313/evidence/verify_artifacts.py	21	docs/tasks/313/candidates.csv	False	True
orchestra	.orchestra/tasks/313/evidence/verify_artifacts.py	59	docs/tasks/313/metrics.md	False	True
orchestra	.orchestra/tasks/313/evidence/verify_artifacts.py	72	docs/tasks/313/inventory.json	False	True
orchestra	.orchestra/tasks/313/evidence/verify_artifacts.py	73	docs/tasks/313/evidence/static-signals.json	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t2_task_behavior.py	277	docs/tasks/315/research.md	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t2_task_behavior.py	639	docs/tasks/315/acceptance/test_t2_task_behavior.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t2_task_behavior.py	640	docs/tasks/315/acceptance/test_t2_task_behavior.py	False	True
orchestra	.orchestra/tasks/303/v11_delivery_gate.py	28	docs/tasks/303	False	True
orchestra	.orchestra/tasks/303/v11_delivery_gate.py	36	docs/tasks/303/test_v11_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/303/v11_delivery_gate.py	37	docs/tasks/303/test_v10_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/313/evidence/static_analysis.py	18	docs/tasks/313/evidence/static-signals.json	False	True
orchestra	.orchestra/tasks/313/evidence/static_analysis.py	19	docs/tasks/313/clusters.json	False	True
orchestra	.orchestra/tasks/313/evidence/import_status.py	11	docs/tasks/313/evidence/import-status.json	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	137	docs/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	140	docs/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	565	docs/tasks/309/acceptance/test_t1_progress_ui_removed.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	566	docs/tasks/309/acceptance/test_t2_legacy_merge_handler_removed.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	567	docs/tasks/309/acceptance/test_t3_single_model_refresh_route.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	568	docs/tasks/309/acceptance/test_t4_proxy_tunnel_owner_removed.py	False	True
orchestra	.orchestra/tasks/315/acceptance/test_t6_merge_receipt_cleanup_behavior.py	569	docs/tasks/309/acceptance/test_t7_route_snapshot_removed_surfaces.py	False	True
orchestra	.orchestra/tasks/303/test_v12_delivery_oracle.py	151	docs/tasks/303	False	True
orchestra	.orchestra/tasks/303/test_v12_delivery_oracle.py	266	docs/tasks/303/v12_delivery_gate.py	False	True
orchestra	.orchestra/tasks/313/evidence/inventory.py	13	docs/tasks/313/inventory.json	False	True
orchestra	.orchestra/tasks/313/evidence/inventory.py	14	docs/tasks/313/evidence/collect-default-patched.txt	False	True
orchestra	.orchestra/tasks/303/v12_delivery_gate.py	29	docs/tasks/303	False	True
orchestra	.orchestra/tasks/303/v12_delivery_gate.py	37	docs/tasks/303/test_v12_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/303/v12_delivery_gate.py	38	docs/tasks/303/test_v11_delivery_oracle.py	False	True
orchestra	.orchestra/tasks/313/evidence/run_route_compound_mutant.py	20	docs/tasks/313/evidence/route-truncated.json	False	True
orchestra	.orchestra/tasks/150/migrate_fake_zeros.py	4	docs/tasks/150/	False	True
orchestra	.orchestra/tasks/150/migrate_fake_zeros.py	12	docs/tasks/150/report.md	False	True
orchestra	.orchestra/tasks/150/migrate_fake_zeros.py	17	docs/tasks/150/migrate_fake_zeros.py	False	True
orchestra	.orchestra/tasks/150/migrate_fake_zeros.py	18	docs/tasks/150/migrate_fake_zeros.py	False	True
orchestra	.orchestra/tasks/57/measurements/interact.py	15	docs/tasks/57/measurements/interact.py	False	True
orchestra	.orchestra/tasks/57/measurements/pair_run.py	7	docs/tasks/57/measurements/pair_run.py	False	True
orchestra	.orchestra/tasks/57/measurements/script_cost.py	10	docs/tasks/57/measurements/script_cost.py	False	True
orchestra	.orchestra/tasks/57/measurements/cpu_profile.py	9	docs/tasks/57/measurements/cpu_profile.py	False	True
orchestra	.orchestra/tasks/57/measurements/analyze.py	6	docs/tasks/57/measurements/analyze.py	False	True
orchestra	.orchestra/tasks/57/measurements/analyze.py	7	docs/tasks/57/measurements/analyze.py	False	True
orchestra	.orchestra/tasks/162/analyze.py	4	docs/tasks/162/analyze.py	False	True
orchestra	.orchestra/tasks/27/adhoc-cleanup-dryrun.py	12	docs/tasks/27/adhoc-cleanup-dryrun.py	False	True
